epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,975.071,0.66643,0.61246,0.92705,0.97748,1,0.995,0.89061,0.50082,0.45505,0.83074,0.000820675,0.000820675,0.000820675
45,1000.27,0.66185,0.5922,0.92902,0.97325,1,0.995,0.89361,0.49829,0.45316,0.83278,0.000806528,0.000806528,0.000806528
46,1025.16,0.66869,0.58172,0.92324,0.97391,1,0.995,0.88774,0.50231,0.45679,0.83557,0.00079238,0.00079238,0.00079238
47,1050.22,0.71296,0.64412,0.94959,0.97841,1,0.995,0.885,0.53111,0.42594,0.82832,0.000778233,0.000778233,0.000778233
48,1075.37,0.70815,0.59644,0.92834,0.98456,1,0.995,0.88203,0.51669,0.41553,0.82421,0.000764086,0.000764086,0.000764086
49,1098.58,0.69862,0.60986,0.95653,0.9914,0.99442,0.995,0.86745,0.53081,0.42996,0.82021,0.000749939,0.000749939,0.000749939
50,1118.14,0.65877,0.58316,0.91552,0.99108,1,0.995,0.89665,0.48294,0.42625,0.82208,0.000735792,0.000735792,0.000735792
51,1137.8,0.69346,0.59513,0.93898,0.98674,1,0.995,0.90018,0.49181,0.43878,0.81673,0.000721645,0.000721645,0.000721645
52,1157.26,0.66131,0.5921,0.9341,0.99399,0.99883,0.995,0.88228,0.49334,0.43905,0.81771,0.000707498,0.000707498,0.000707498
53,1177.63,0.64748,0.577,0.9161,0.98932,1,0.995,0.85961,0.50082,0.45302,0.81536,0.000693351,0.000693351,0.000693351
54,1198.04,0.67476,0.62975,0.93967,0.98951,1,0.995,0.87102,0.48302,0.42878,0.81824,0.000679204,0.000679204,0.000679204
55,1217.94,0.66963,0.59115,0.93532,0.98922,1,0.995,0.88635,0.49338,0.41116,0.82677,0.000665057,0.000665057,0.000665057
56,1237.7,0.65738,0.56908,0.92461,0.98924,1,0.995,0.88773,0.44578,0.40374,0.81403,0.000650909,0.000650909,0.000650909
57,1257.34,0.66194,0.58498,0.91023,0.99069,1,0.995,0.8904,0.4767,0.41313,0.8067,0.000636762,0.000636762,0.000636762
58,1276.8,0.67296,0.58562,0.9261,0.99148,1,0.995,0.89359,0.45932,0.40406,0.80264,0.000622615,0.000622615,0.000622615
59,1296.33,0.66902,0.58782,0.92455,0.9899,1,0.995,0.89784,0.46467,0.39072,0.80136,0.000608468,0.000608468,0.000608468
60,1316.32,0.63601,0.55376,0.91565,0.98166,1,0.995,0.88805,0.48146,0.40371,0.79919,0.000594321,0.000594321,0.000594321
61,1336.05,0.64638,0.54998,0.92184,0.98492,1,0.995,0.895,0.42911,0.3871,0.79685,0.000580174,0.000580174,0.000580174
62,1355.65,0.60184,0.54211,0.91773,0.98595,1,0.995,0.90264,0.43144,0.38348,0.79986,0.000566027,0.000566027,0.000566027
63,1375.62,0.6255,0.55685,0.90411,0.98627,1,0.995,0.89365,0.43959,0.40313,0.81163,0.00055188,0.00055188,0.00055188
64,1395.14,0.61899,0.54885,0.90086,0.9904,1,0.995,0.9035,0.41916,0.38907,0.80467,0.000537733,0.000537733,0.000537733
65,1415.18,0.62113,0.54379,0.91473,0.9926,1,0.995,0.88293,0.497,0.40857,0.80119,0.000523586,0.000523586,0.000523586
66,1435.25,0.61142,0.54833,0.89615,0.99161,1,0.995,0.89546,0.44275,0.39898,0.79406,0.000509438,0.000509438,0.000509438
67,1455.39,0.58955,0.54025,0.91086,0.99008,1,0.995,0.91676,0.39774,0.38761,0.79227,0.000495291,0.000495291,0.000495291
68,1475.52,0.63185,0.56592,0.9305,0.9843,1,0.995,0.89405,0.44255,0.37989,0.79341,0.000481144,0.000481144,0.000481144
69,1494.92,0.57074,0.52944,0.89976,0.98187,1,0.995,0.89681,0.44054,0.3667,0.79443,0.000466997,0.000466997,0.000466997
70,1514.66,0.60678,0.53418,0.93514,0.98067,1,0.995,0.90579,0.42929,0.35699,0.79378,0.00045285,0.00045285,0.00045285
71,1534.49,0.59373,0.52479,0.89966,0.98246,1,0.995,0.92081,0.42998,0.36555,0.79554,0.000438703,0.000438703,0.000438703
72,1554.31,0.64086,0.54838,0.93204,0.98372,1,0.995,0.92125,0.46206,0.38715,0.7948,0.000424556,0.000424556,0.000424556
73,1574.15,0.56892,0.51942,0.90294,0.98794,1,0.995,0.93321,0.39309,0.35779,0.78577,0.000410409,0.000410409,0.000410409
74,1593.7,0.63757,0.62085,0.93162,0.98927,1,0.995,0.92925,0.39046,0.3539,0.78394,0.000396262,0.000396262,0.000396262
75,1613.37,0.5817,0.5205,0.91179,0.98923,1,0.995,0.93765,0.38355,0.34425,0.7842,0.000382115,0.000382115,0.000382115
76,1633.03,0.58653,0.51937,0.91311,0.98874,1,0.995,0.91394,0.39809,0.34868,0.78436,0.000367967,0.000367967,0.000367967
77,1652.56,0.54355,0.51097,0.90324,0.98942,1,0.995,0.90571,0.39428,0.34449,0.78406,0.00035382,0.00035382,0.00035382
78,1672.6,0.57395,0.51605,0.89467,0.98975,1,0.995,0.92552,0.38607,0.34062,0.78486,0.000339673,0.000339673,0.000339673
79,1692.73,0.60651,0.52462,0.92134,0.98792,1,0.995,0.92119,0.41305,0.35837,0.79015,0.000325526,0.000325526,0.000325526
80,1712.48,0.55605,0.50375,0.90413,0.98637,1,0.995,0.91772,0.42566,0.37537,0.79309,0.000311379,0.000311379,0.000311379
81,1732.08,0.56255,0.48819,0.90397,0.98253,1,0.995,0.91191,0.39129,0.37479,0.78814,0.000297232,0.000297232,0.000297232
82,1751.81,0.55298,0.49191,0.90395,0.9794,1,0.995,0.91992,0.39461,0.37504,0.78868,0.000283085,0.000283085,0.000283085
83,1771.41,0.56052,0.49986,0.90382,0.98455,1,0.995,0.9267,0.39143,0.37211,0.78796,0.000268938,0.000268938,0.000268938
84,1791.16,0.57433,0.50724,0.93023,0.98417,1,0.995,0.91083,0.3961,0.36762,0.79057,0.000254791,0.000254791,0.000254791
85,1810.79,0.58124,0.50962,0.91175,0.98531,1,0.995,0.90657,0.3953,0.35897,0.79005,0.000240644,0.000240644,0.000240644
86,1830.23,0.57675,0.50554,0.91361,0.9849,1,0.995,0.90025,0.39149,0.35725,0.78827,0.000226497,0.000226497,0.000226497
87,1850.17,0.5282,0.47175,0.88718,0.98593,1,0.995,0.89671,0.39665,0.35419,0.78544,0.000212349,0.000212349,0.000212349
88,1869.89,0.54977,0.48456,0.91404,0.98702,1,0.995,0.89852,0.39589,0.3568,0.78586,0.000198202,0.000198202,0.000198202
89,1889.33,0.52664,0.48384,0.8974,0.98857,1,0.995,0.90864,0.39328,0.3577,0.78763,0.000184055,0.000184055,0.000184055
90,1909,0.54702,0.48843,0.90642,0.98979,1,0.995,0.91225,0.40518,0.36017,0.78723,0.000169908,0.000169908,0.000169908
91,1928.65,0.50271,0.65319,0.87307,0.98929,1,0.995,0.90361,0.42366,0.35366,0.78812,0.000155761,0.000155761,0.000155761
92,1947.91,0.48975,0.55886,0.85447,0.98755,1,0.995,0.87962,0.42829,0.35798,0.79072,0.000141614,0.000141614,0.000141614
93,1967.13,0.44524,0.50744,0.84769,0.98598,1,0.995,0.87318,0.41289,0.36758,0.78879,0.000127467,0.000127467,0.000127467
94,1986.31,0.44307,0.52266,0.84734,0.98378,1,0.995,0.88442,0.40243,0.37657,0.7856,0.00011332,0.00011332,0.00011332
95,2005.25,0.46137,0.52955,0.84608,0.98455,1,0.995,0.89161,0.3946,0.37664,0.7871,9.91726e-05,9.91726e-05,9.91726e-05
96,2024.6,0.45854,0.50171,0.84976,0.9857,1,0.995,0.89665,0.39015,0.37571,0.78748,8.50255e-05,8.50255e-05,8.50255e-05
97,2043.75,0.42724,0.471,0.85721,0.98652,1,0.995,0.89912,0.39249,0.37599,0.78589,7.08784e-05,7.08784e-05,7.08784e-05
98,2062.93,0.4279,0.4861,0.83511,0.98694,1,0.995,0.9025,0.39221,0.37749,0.78489,5.67313e-05,5.67313e-05,5.67313e-05
99,2081.94,0.44743,0.48205,0.84846,0.98674,1,0.995,0.90822,0.38994,0.37901,0.78394,4.25842e-05,4.25842e-05,4.25842e-05
100,2101.07,0.43624,0.47317,0.84007,0.98556,1,0.995,0.89626,0.38577,0.38414,0.78287,2.84371e-05,2.84371e-05,2.84371e-05
