epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,894.641,0.84024,0.75621,0.71897,0.98154,0.97795,1,0.995,0.82084,0.97795,1,0.995,0.8493,0.63405,0.44147,0.59704,0.8485,0.00100459,0.00100459,0.00100459
32,923.988,0.87877,0.73605,0.7357,0.99691,0.98587,0.99663,0.995,0.83337,0.98587,0.99663,0.995,0.87753,0.73191,0.40577,0.57152,0.867,0.00099044,0.00099044,0.00099044
33,952.421,0.84068,0.75458,0.70615,0.97265,0.98063,1,0.995,0.86256,0.98063,1,0.995,0.88644,0.67751,0.33685,0.53498,0.85425,0.000976293,0.000976293,0.000976293
34,981.212,0.79261,0.7065,0.6843,0.96484,0.98609,1,0.995,0.85908,0.98609,1,0.995,0.88462,0.64137,0.35279,0.55917,0.84136,0.000962146,0.000962146,0.000962146
35,1009.37,0.80651,0.75735,0.69059,0.97114,0.98223,1,0.995,0.86369,0.98223,1,0.995,0.88542,0.60257,0.37689,0.50545,0.836,0.000947999,0.000947999,0.000947999
36,1037.83,0.80494,0.69515,0.69546,0.96951,0.96282,1,0.995,0.84406,0.96282,1,0.995,0.90077,0.65856,0.39294,0.50524,0.85448,0.000933851,0.000933851,0.000933851
37,1066.15,0.77281,0.72662,0.68756,0.97319,0.96237,1,0.995,0.83471,0.96237,1,0.995,0.8754,0.65587,0.39188,0.5155,0.85058,0.000919704,0.000919704,0.000919704
38,1094.95,0.788,0.7149,0.67031,0.95499,0.96501,1,0.995,0.84736,0.96501,1,0.995,0.8502,0.62301,0.40399,0.5069,0.84613,0.000905557,0.000905557,0.000905557
39,1123.53,0.75183,0.66952,0.64577,0.95411,0.97686,1,0.995,0.8395,0.97686,1,0.995,0.89889,0.65714,0.38435,0.49858,0.85258,0.00089141,0.00089141,0.00089141
40,1152.49,0.80807,0.65946,0.6584,0.9613,0.97999,1,0.995,0.86494,0.97999,1,0.995,0.89418,0.63228,0.37978,0.49862,0.84653,0.000877263,0.000877263,0.000877263
41,1180.94,0.77927,0.70149,0.66695,0.96964,0.98124,0.99481,0.995,0.87218,0.98124,0.99481,0.995,0.89306,0.5555,0.40498,0.51157,0.83486,0.000863116,0.000863116,0.000863116
42,1209.73,0.76691,0.73767,0.68452,0.9748,0.98092,1,0.995,0.8802,0.98092,1,0.995,0.88952,0.52107,0.38862,0.47532,0.83203,0.000848969,0.000848969,0.000848969
43,1238.51,0.72242,0.65683,0.64706,0.95384,0.97821,1,0.995,0.87657,0.97821,1,0.995,0.89231,0.53147,0.39127,0.45958,0.83864,0.000834822,0.000834822,0.000834822
44,1267.87,0.70619,0.62237,0.62178,0.94108,0.99313,1,0.995,0.87288,0.99313,1,0.995,0.89006,0.49749,0.37973,0.44832,0.83338,0.000820675,0.000820675,0.000820675
